151, avenue de la radio niamey, niger (el)
151, avenue de la radio niamey, nigeria
22, avenue marceau. 75008 parís, francia
2375 pennsylvania ave. nw washington dc washington, estados unidos (los)
245 east 47th street, 36th floor new york, estados unidos (los)
27 mart, nº 7 1000 skopje, macedonia (la antigua republica yugoslava de)
390 st. kilda rd. · melbourne vic 3004 melbourne, australia
52, boulevard du regent. b 1000 bruselas, belgica
53, avenue blanc. 1202 ginebra, suiza
6420 richmond ave ste 475 houston, tx 77057, estados unidos (los)
726 52 hannam dong seul, corea (la republica de)
aeropuerto de menorca s/n, 07702, illes balears, illes balears, españa
calle tarquina 18, 18858, granada, andalucia, españa
calle tejares 23, 02130, albacete, castilla la mancha, españa
calle teniente olmo 2, 11001, ceuta, ceuta, españa
calle tetuan 5, 18100, granada, andalucia, españa
calle tigaday 23, 38911, santa cruz tenerife, canarias, españa
calle tilos 3, 29004, malaga, andalucia, españa
calle toledo 3, 13100, ciudad real, castilla la mancha, españa
calle tomás de ybarra 34, 41071, sevilla, andalucia, españa
calle topete 4, 11130, cadiz, andalucia, españa
calle torrefranca 13, 14520, cordoba, andalucia, españa
calle torrella 106, 17257, girona, cataluna, españa
calle tortola 97, 18004, granada, andalucia, españa
calle ultramar 1 3, 47007, valladolid, castilla leon, españa
calle universitat autonoma s/n, 08193, barcelona, cataluna, españa
calle urbanizacion camposol poligono 1, 30879, murcia, region murcia, españa
calle urbanizacion la palomera s/n, 38870, santa cruz tenerife, canarias, españa
calle uruguay 13, 46071, valencia, comunitat valenciana, españa
calle valle inclan 15, 28330, madrid, comunidad madrid, españa
calle valles 1 3, 08190, barcelona, cataluna, españa
calle vargas 53, 39071, cantabria, cantabria, españa
calle veintiocho de febrero 59, 41071, sevilla, andalucia, españa
calle venerables 32, 42100, soria, castilla leon, españa
calle venta del moral 1, 01214, alava, pais vasco, españa
calle veracruz 3 5, 23660, jaen, andalucia, españa
calle via berrocal 47, 28411, madrid, comunidad madrid, españa
calle via dublin 7, 28070, madrid, comunidad madrid, españa
calle vicente alexandre 3, 13004, ciudad real, castilla la mancha, españa
calle vicente alexandre 37, 24370, leon, castilla leon, españa
calle victoria 73, 29350, malaga, andalucia, españa
calle villa benavente 6, 24003, leon, castilla leon, españa
calle villa del lil 2, 24210, leon, castilla leon, españa
calle villaestrofe 33, 27880, lugo, galicia, españa
calle villalpando 9, 49110, zamora, castilla leon, españa
calle villar 1, 28066, madrid, comunidad madrid, españa
calle villar s/n, 33700, asturias, principado asturias, españa
calle virgen de begoña s/n, 41007, sevilla, andalucia, españa
calle virgen de la freixas 4, 08200, barcelona, cataluna, españa
calle virgen de los dolores 27, 41340, sevilla, andalucia, españa
calle virgen de los niños 21, 46630, valencia, comunitat valenciana, españa
calle virgen del amparo s/n, 41927, sevilla, andalucia, españa
calle virgen la cabeza 191, 18817, granada, andalucia, españa
calle viriato 7, 42110, soria, castilla leon, españa
calle vitoria 34, 09071, burgos, castilla leon, españa
calle vitruvio 1, 28071, madrid, comunidad madrid, españa
calle vía de dublín 7, 28070, madrid, comunidad madrid, españa
calle zapadores 46 y 48, 46006, valencia, comunitat valenciana, españa
calle zapadores 52, 46006, valencia, comunitat valenciana, españa
calle zaragoza 33, 50153, zaragoza, aragon, españa
calle zaragoza 4, 44652, teruel, aragon, españa
calle zurbaran 9, 41140, sevilla, andalucia, españa
calle álvaro cunqueiro 6, 36210, pontevedra, galicia, españa
campa da feria 10, 36559, pontevedra, galicia, españa
casa alcántara s/n, 30550, murcia, region murcia, españa
castillo de san javier 2, 30720, murcia, region murcia, españa
centro local de seguridad s/n, 30565, murcia, region murcia, españa
cerro del santuario s/n, 23720, jaen, andalucia, españa
cmno de la estacion 54, 37470, salamanca, castilla leon, españa
cmno de la fuente s/n, 19187, guadalajara, castilla la mancha, españa
cmno de marbella 5, 29610, malaga, andalucia, españa
cmno de pozuelo 2, 28510, madrid, comunidad madrid, españa
cmno de ronda 100 1ºa, 18003, granada, andalucia, españa
cmno de sevilla 2, 41470, sevilla, andalucia, españa
cmno de trujillanos s/n, 06190, badajoz, extremadura, españa
cmno rubin 62, 33011, asturias, principado asturias, españa
cmno vell del palau s/n, 08740, barcelona, cataluna, españa
cra. 36, nº 2 74. plaza santo domingo cartagena de indias, colombia
ctra a villalba 22, 28260, madrid, comunidad madrid, españa
ctra abenójar torrijos s/n, 13194, ciudad real, castilla la mancha, españa
ctra acehuche s/n, 10870, caceres, extremadura, españa
ctra ajalvir s/n, 28814, madrid, comunidad madrid, españa
ctra alaejos toro s/n, 47520, valladolid, castilla leon, españa
ctra alburquerque s/n, 06193, badajoz, extremadura, españa
ctra almonacid del marquesado s/n, 16432, cuenca, castilla la mancha, españa
ctra antigua n 340 100, 46640, valencia, comunitat valenciana, españa
ctra antigüa carretera de burgos s/n, 28049, madrid, comunidad madrid, españa
ctra boadilla del monte s/n, 28224, madrid, comunidad madrid, españa
ctra burgos s/n, 28108, madrid, comunidad madrid, españa
ctra c 101 700, 19248, guadalajara, castilla la mancha, españa
ctra c 231 s/n, 50170, zaragoza, aragon, españa
ctra c 328 500, 23350, jaen, andalucia, españa
ctra c 822 s/n, 38670, santa cruz tenerife, canarias, españa
ctra cadiz malaga s/n, 11203, cadiz, andalucia, españa
ctra calzada s/n, 13379, ciudad real, castilla la mancha, españa
ctra camporrobles s/n, 16393, cuenca, castilla la mancha, españa
ctra cardona 86 92, 08240, barcelona, cataluna, españa
ctra cariñena s/n, 50100, zaragoza, aragon, españa
ctra castroverde 8, 47316, valladolid, castilla leon, españa
ctra chaherrero 33, 05300, avila, castilla leon, españa
ctra ciudad real s/n, 13116, ciudad real, castilla la mancha, españa
ctra colmenar viejo s/n, 28760, madrid, comunidad madrid, españa
ctra constitucion 13, 18120, granada, andalucia, españa
ctra de aviles s/n, 33440, asturias, principado asturias, españa
ctra de barcelona s/n, 28071, madrid, comunidad madrid, españa
ctra de cervera s/n, 26526, la rioja, la rioja, españa
ctra de ciguela s/n, 42125, soria, castilla leon, españa
ctra de cuenca 106, 16161, cuenca, castilla la mancha, españa
ctra de epila s/n, 50450, zaragoza, aragon, españa
ctra de figueirido 3, 36900, pontevedra, galicia, españa
ctra de gamarra s/n, 01100, alava, pais vasco, españa
ctra de garrapinillos s/n, 50071, zaragoza, aragon, españa
ctra de granada 9, 18517, granada, andalucia, españa
ctra de huesca s/n, 50110, zaragoza, aragon, españa
ctra de huescar s/n, 18820, granada, andalucia, españa
ctra de jaen 37, 02260, albacete, castilla la mancha, españa
ctra de la estacion 1, 49130, zamora, castilla leon, españa
ctra de la estacion s/n, 29380, malaga, andalucia, españa
ctra de larios s/n, 29620, malaga, andalucia, españa
ctra de las infantas s/n, 23630, jaen, andalucia, españa
ctra de lozoya s/n, 40161, segovia, castilla leon, españa
ctra de madrid s/n, 37071, salamanca, castilla leon, españa
ctra de malaga 3, 18740, granada, andalucia, españa
ctra de manacor km 8, 07071, illes balears, illes balears, españa
ctra de medellin s/n, 10184, caceres, extremadura, españa
ctra de morón sevilla s/n, 41071, sevilla, andalucia, españa
ctra de málaga 117, 04700, almeria, andalucia, españa
ctra de ojos 36, 30540, murcia, region murcia, españa
ctra de pamplona 1, 31230, navarra, comunidad foral navarra, españa
ctra de porzuna 1, 13071, ciudad real, castilla la mancha, españa
ctra de porzuna 6, 13071, ciudad real, castilla la mancha, españa
ctra de puertollano 19, 13770, ciudad real, castilla la mancha, españa
ctra de rubin s/n, 33011, asturias, principado asturias, españa
ctra de san martín de la vega km. 10,400, 28330, madrid, comunidad madrid, españa
ctra de valencia 16, 02200, albacete, castilla la mancha, españa
ctra de valle 7, 34240, palencia, castilla leon, españa
ctra de villada 18 20, 34310, palencia, castilla leon, españa
ctra de zaragoza s/n, 44530, teruel, aragon, españa
ctra del campamento s/n, 24260, leon, castilla leon, españa
ctra enguidanos s/n, 16373, cuenca, castilla la mancha, españa
ctra estella 42, 31260, navarra, comunidad foral navarra, españa
ctra extremadura 16, 45516, toledo, castilla la mancha, españa
ctra extremadura pk 25,100, 28608, madrid, comunidad madrid, españa
ctra figueirido s/n, 36146, pontevedra, galicia, españa
ctra fuente el saz s/n, 19170, guadalajara, castilla la mancha, españa
ctra gc 620 s/n, 35620, las palmas, canarias, españa
ctra general 105, 38280, santa cruz tenerife, canarias, españa
ctra general 107, 38820, santa cruz tenerife, canarias, españa
ctra general 121, 38250, santa cruz tenerife, canarias, españa
ctra general 50, 33640, asturias, principado asturias, españa
ctra general 59 61, 38683, santa cruz tenerife, canarias, españa
ctra general 7, 38380, santa cruz tenerife, canarias, españa
ctra general 77, 38820, santa cruz tenerife, canarias, españa
ctra general norte 95, 38350, santa cruz tenerife, canarias, españa
ctra getafe villaverde s/n, 28903, madrid, comunidad madrid, españa
ctra gu 961 s/n, 19311, guadalajara, castilla la mancha, españa
ctra guadarrama el escorial km. 5,500, 28280, madrid, comunidad madrid, españa
ctra guaso s/n, 22330, huesca, aragon, españa
ctra huete tortuera s/n, 19495, guadalajara, castilla la mancha, españa
ctra jerica zucaina s/n, 12448, castellon, comunitat valenciana, españa
ctra jose navarro pardo 2, 04560, almeria, andalucia, españa
ctra juan antonio cavestany 1, 41020, sevilla, andalucia, españa
ctra leon caboalles 5, 24120, leon, castilla leon, españa
ctra llerena s/n, 06950, badajoz, extremadura, españa
ctra logroño 30, 26370, la rioja, la rioja, españa
ctra martires de la alpujarra 89, 04110, almeria, andalucia, españa
ctra medina sidonia el portal km. 6,5, 11480, cadiz, andalucia, españa
ctra miranda de ebro 32, 09215, burgos, castilla leon, españa
ctra n 403 100, 45500, toledo, castilla la mancha, españa
ctra n 623 400, 09141, burgos, castilla leon, españa
ctra n iv 297, 23710, jaen, andalucia, españa
ctra na 178 100, 31680, navarra, comunidad foral navarra, españa
ctra pamplona bajo 15, 31330, navarra, comunidad foral navarra, españa
ctra profesor tierno galvan 34, 11407, cadiz, andalucia, españa
ctra real 53, 41805, sevilla, andalucia, españa
ctra romariz 56, 32611, ourense, galicia, españa
ctra rueda s/n, 47153, valladolid, castilla leon, españa
ctra s'aranjassa s/n, 07620, illes balears, illes balears, españa
ctra sam martin 78, 37524, salamanca, castilla leon, españa
ctra san antonio s/n, 07800, illes balears, illes balears, españa
ctra san juan matalascañas km. 33, 21130, huelva, andalucia, españa
ctra santa maria s/n, 40450, segovia, castilla leon, españa
ctra santiago s/n, 27211, lugo, galicia, españa
ctra sarria 15, 31100, navarra, comunidad foral navarra, españa
ctra segovia 14, 40370, segovia, castilla leon, españa
ctra segovia 44, 40420, segovia, castilla leon, españa
ctra soria plasencia s/n, 40165, segovia, castilla leon, españa
ctra suspiro del moro 58, 18698, granada, andalucia, españa
ctra te v 901 s/n, 44370, teruel, aragon, españa
ctra torrejón ajalvir s/n, 28860, madrid, comunidad madrid, españa
ctra torrelodones colmenar viejo s/n, 28000, madrid, comunidad madrid, españa
ctra villaestrofe 33, 27880, lugo, galicia, españa
ctra villalon 2, 34340, palencia, castilla leon, españa
ctra villamanin s/n, 24838, leon, castilla leon, españa
ctra villanueva del fresno s/n, 06131, badajoz, extremadura, españa
ctra vitigudino km. 0,7, 37008, salamanca, castilla leon, españa
ctra zarramala 1, 19240, guadalajara, castilla la mancha, españa
custa san vicente s/n, 28071, madrid, comunidad madrid, españa
dr. lopez suarez s/n, 27400, lugo, galicia, españa
edif. bancaracas, piso 7. pza castellana caracas, venezuela republica bolivariana de
edificio c.i.a.t. c/ ramón arias. aparta panamá, panama
edificio mercantil plaza, piso 11 san juan de puerto rico, estados unidos (los)
ejercito español s/n, 23071, jaen, andalucia, españa
el calvario s/n, 38800, santa cruz tenerife, canarias, españa
el voluntariado 9, 50800, zaragoza, aragon, españa
elizabetes iela, 11. 3.ª riga lv1010, letonia
embajada de españa. 39 chesham place londres swix 8sb, reino unido (el)
furstatskaya 9 san petersburgo 191028, rusia (la) federacion de
galileo, 114. colonia polanco méxico. d.f., mexico
gaztañaga ausoa s/n, 48180, bizkaia, pais vasco, españa
gran vía de jaume i 47, 17071, girona, cataluna, españa
gta de donantes de sangre 1, 24010, leon, castilla leon, españa
gta del ejercito s/n, 28071, madrid, comunidad madrid, españa
horts dels jurats 38, 07740, illes balears, illes balears, españa
illes canaries 22, 07180, illes balears, illes balears, españa
montaña blanca maspalomas s/n, 35100, las palmas, canarias, españa
muelle santa lucia(puerto cart s/n, 30203, murcia, region murcia, españa
palais chehab, hadath antounie beyrouth 1107 2120, libano
parque tecnológico de asturias s/n, 33428, asturias, principado asturias, españa
paseo almenilla 4, 41310, sevilla, andalucia, españa
paseo angel guimera 16, 25065, lleida, cataluna, españa
paseo asuncion 1, 21300, huelva, andalucia, españa
paseo barro soto s/n, 15330, a coruna, galicia, españa
paseo blas de lezo 1, 29649, malaga, andalucia, españa
paseo castellana 106 108, 28020, madrid, comunidad madrid, españa
paseo castellana 162, 28071, madrid, comunidad madrid, españa
paseo castellana 3, 28046, madrid, comunidad madrid, españa
paseo central s/n, 08830, barcelona, cataluna, españa
paseo de chil 299, 35071, las palmas, canarias, españa
paseo de la castellana 162, 28071, madrid, comunidad madrid, españa
paseo de la castellana 272, 28071, madrid, comunidad madrid, españa
paseo de la castellana 3, 28020, madrid, comunidad madrid, españa
paseo de la castellana 3, 28046, madrid, comunidad madrid, españa
paseo de la castellana 61, 28071, madrid, comunidad madrid, españa
paseo de la castellana 67, 28071, madrid, comunidad madrid, españa
paseo de la castellana 75, 28043, madrid, comunidad madrid, españa
paseo de la estacion s/n, 23770, jaen, andalucia, españa
paseo de la marina s/n, 51071, ceuta, ceuta, españa
paseo de morella 1, 12004, castellon, comunitat valenciana, españa
paseo de sancha 64, 29071, malaga, andalucia, españa
paseo de santa fe 22, 21071, huelva, andalucia, españa
paseo de urumea 17, 20014, gipuzkoa, pais vasco, españa
paseo del prado 4, 28071, madrid, comunidad madrid, españa
paseo del rey 1, 28004, madrid, comunidad madrid, españa
paseo dels arbres 15, 08757, barcelona, cataluna, españa
paseo doctor fernandez iparraguirre 8, 19007, guadalajara, castilla la mancha, españa
paseo doctor fernandez iparraguirre 8, 19071, guadalajara, castilla la mancha, españa
paseo federico soto 11, 03071, alicante, comunitat valenciana, españa
paseo fernández iparraguirre 8, 19071, guadalajara, castilla la mancha, españa
paseo iglesia 7, 23610, jaen, andalucia, españa
paseo infanta isabel 1, 28071, madrid, comunidad madrid, españa
paseo juan del cid lopez 1, 21240, huelva, andalucia, españa
paseo juan xxiii 26, 28071, madrid, comunidad madrid, españa
paseo maria agustin 113, 50007, zaragoza, aragon, españa
paseo ordoñez valdes s/n, 21230, huelva, andalucia, españa
paseo puche pardo s/n, 23400, jaen, andalucia, españa
paseo reina cristina 3 5, 28070, madrid, comunidad madrid, españa
paseo rey francisco 17, 01070, alava, pais vasco, españa
paseo san francisco 17, 06071, badajoz, extremadura, españa
paseo san francisco s/n, 06001, badajoz, extremadura, españa
paseo san gregorio 33, 23640, jaen, andalucia, españa
paseo sancha 64, 23071, malaga, andalucia, españa
paseo sitio de calahonda 6, 29740, malaga, andalucia, españa
pedro machuca 4 6, 18011, granada, andalucia, españa
plaza adolfo suarez 1, 05071, avila, castilla leon, españa
plaza alfonso torres 3, 04880, almeria, andalucia, españa
plaza alta 5, 29108, malaga, andalucia, españa
plaza america 8, 18500, granada, andalucia, españa
plaza ayuntamiento 1, 46140, valencia, comunitat valenciana, españa
plaza c. comercial parque miramar s/n, 29007, malaga, andalucia, españa
plaza candelaria 1, 35620, las palmas, canarias, españa
plaza cervantes 1, 13071, ciudad real, castilla la mancha, españa
plaza conde de castro 1, 09001, burgos, castilla leon, españa
plaza conquistadores s/n, 06004, badajoz, extremadura, españa
plaza constitucion 1, 42110, soria, castilla leon, españa
plaza constitucion 15, 04700, almeria, andalucia, españa
plaza constitucion 4, 13001, ciudad real, castilla la mancha, españa
plaza constitucion s/n, 07750, illes balears, illes balears, españa
plaza constitución 1, 49001, zamora, castilla leon, españa
plaza convento 4, 03510, alicante, comunitat valenciana, españa
plaza coronel polanco s/n, 28071, madrid, comunidad madrid, españa
plaza da constitucion s/n, 27360, lugo, galicia, españa
plaza de andalucia 37, 29440, malaga, andalucia, españa
plaza de baixamar 1, 07701, illes balears, illes balears, españa
plaza de belén maría s/n, 35007, las palmas, canarias, españa
plaza de castilla y león s/n, 49014, zamora, castilla leon, españa
plaza de españa 19, 11071, cadiz, andalucia, españa
plaza de españa 2, 06171, badajoz, extremadura, españa
plaza de españa s/n, 36002, pontevedra, galicia, españa
plaza de hernán cortés 3, 10007, caceres, extremadura, españa
plaza de irun s/n, 20011, gipuzkoa, pais vasco, españa
plaza de jardinillos s/n, 23004, jaen, andalucia, españa
plaza de la almendra s/n, 41970, sevilla, andalucia, españa
plaza de la bodega s/n, 08348, barcelona, cataluna, españa
plaza de la constitucion 4, 05164, avila, castilla leon, españa
plaza de la constitucion 6, 13179, ciudad real, castilla la mancha, españa
plaza de la constitucion 9, 24153, leon, castilla leon, españa
plaza de la constitucion española s/n, 45165, toledo, castilla la mancha, españa
plaza de la corredera s/n, 11170, cadiz, andalucia, españa
plaza de la estacion 12, 23650, jaen, andalucia, españa
plaza de la fon 6, 12140, castellon, comunitat valenciana, españa
plaza de la guardia civil 1, 28320, madrid, comunidad madrid, españa
plaza de la marina española s/n, 11471, cadiz, andalucia, españa
plaza de la vila 27, 08760, barcelona, cataluna, españa
plaza de la vila s/n, 08650, barcelona, cataluna, españa
plaza de la villa 6, 25100, lleida, cataluna, españa
plaza de las batallas 2, 23071, jaen, andalucia, españa
plaza de las marinas 1, 11403, cadiz, andalucia, españa
plaza de las regiones 1, 28018, madrid, comunidad madrid, españa
plaza de los martires de la alpujarra 1, 18480, granada, andalucia, españa
plaza de los sagrados corazones 7, 28071, madrid, comunidad madrid, españa
plaza de ourense 1, 36071, pontevedra, galicia, españa
plaza de toros 9, 45593, toledo, castilla la mancha, españa
plaza de vizcaya o bizcaia 5, 48500, bizkaia, pais vasco, españa
plaza del ayuntamiento 4, 24600, leon, castilla leon, españa
plaza del ayuntamiento s/n, 18430, granada, andalucia, españa
plaza del cuartel 1, 34210, palencia, castilla leon, españa
plaza del ensanche s/n, 20300, gipuzkoa, pais vasco, españa
plaza del jardinillo 1, 19071, guadalajara, castilla la mancha, españa
plaza del ministro indalecio prieto 1, 41071, sevilla, andalucia, españa
plaza del rei s/n, 08292, barcelona, cataluna, españa
plaza del rey 1, 28071, madrid, comunidad madrid, españa
plaza doctor laguna 5, 40070, segovia, castilla leon, españa
plaza doctor miras navarro 2, 14270, cordoba, andalucia, españa
plaza don jaime 5, 23250, jaen, andalucia, españa
plaza dos mariñeiros 10, 15960, a coruna, galicia, españa
plaza duque de ahumada 1, 34470, palencia, castilla leon, españa
plaza dórleans s/n, 43071, tarragona, cataluna, españa
plaza eduardo merediz 2, 33930, asturias, principado asturias, españa
plaza ensanche 2, 20300, gipuzkoa, pais vasco, españa
plaza españa 17, 28013, madrid, comunidad madrid, españa
plaza españa 2, 33071, asturias, principado asturias, españa
plaza españa 6, 33071, asturias, principado asturias, españa
plaza españa 8, 18440, granada, andalucia, españa
plaza españa s/n, 13592, ciudad real, castilla la mancha, españa
plaza españa s/n, 36002, pontevedra, galicia, españa
plaza federico moyua 5, 48071, bizkaia, pais vasco, españa
plaza federico moyúa 5, 48071, bizkaia, pais vasco, españa
plaza federico silva muñoz 1, 21700, huelva, andalucia, españa
plaza fernando beladíez s/n, 19071, guadalajara, castilla la mancha, españa
plaza galicia 1, 38612, santa cruz tenerife, canarias, españa
plaza galicia s/n, 15402, a coruna, galicia, españa
plaza hispanidad 1, 30130, murcia, region murcia, españa
plaza imperial tarraco 4, 43071, tarragona, cataluna, españa
plaza inmaculada s/n, 11001, cadiz, andalucia, españa
plaza juan carlos i 1, 11500, cadiz, andalucia, españa
plaza juan pablo ii 7, 26320, la rioja, la rioja, españa
plaza juan xxiii 26, 28071, madrid, comunidad madrid, españa
plaza la pl.ana s/n s/n, 25210, lleida, cataluna, españa
plaza leon castillo 2, 35550, las palmas, canarias, españa
plaza luis medina 2, 41089, sevilla, andalucia, españa
plaza major s/n, 08214, barcelona, cataluna, españa
plaza maria cristina s/n, 19129, guadalajara, castilla la mancha, españa
plaza mariano ayala 6, 21830, huelva, andalucia, españa
plaza mayor 2, 12460, castellon, comunitat valenciana, españa
plaza mayor 2, 24450, leon, castilla leon, españa
plaza mayor s/n, 32130, ourense, galicia, españa
plaza ministro indalecio prieto 1, 41071, sevilla, andalucia, españa
plaza misericordia 1, 21230, huelva, andalucia, españa
plaza montelirio 1, 41700, sevilla, andalucia, españa
plaza n iv km. 17, 11300, cadiz, andalucia, españa
plaza padre felix 1, 11510, cadiz, andalucia, españa
plaza parroco jose jimenez 1, 04500, almeria, andalucia, españa
plaza pedro iglesias 1, 14660, cordoba, andalucia, españa
plaza pez martillo 3, 41016, sevilla, andalucia, españa
plaza pio xii 6, 20011, gipuzkoa, pais vasco, españa
plaza pio xiii 6, 20011, gipuzkoa, pais vasco, españa
plaza poeta pablo alcalde 1, 23760, jaen, andalucia, españa
plaza san fernando mejon s/n, 28120, madrid, comunidad madrid, españa
plaza san gil s/n s/n, 40300, segovia, castilla leon, españa
plaza san sebastian 35, 14290, cordoba, andalucia, españa
plaza sanchez de cos 1, 39548, cantabria, cantabria, españa
plaza sant pere nou s/n, 07730, illes balears, illes balears, españa
plaza santo tomas 2, 18810, granada, andalucia, españa
plaza seis de agosto s/n, 33206, asturias, principado asturias, españa
plaza sevilla 2, 11071, cadiz, andalucia, españa
plaza tja 7, 07560, illes balears, illes balears, españa
plaza vila 1, 08105, barcelona, cataluna, españa
plaza zocodover 6, 45071, toledo, castilla la mancha, españa
plzla del ayuntamiento 1, 18517, granada, andalucia, españa
polig industrial de heras nave 136, 39792, cantabria, cantabria, españa
polig industrial el palomar s/n, 10120, caceres, extremadura, españa
polig moure s/n, 32540, ourense, galicia, españa
puerto de la cruz s/n, 29690, malaga, andalucia, españa
r domingos marreiros, 2031, sala 103 belem, brasil
r. barata salgueiro 28, 1250 042 lisboa, portugal
rbla de ferran 2, 25071, lleida, cataluna, españa
rbla de santa cruz 169, 38071, santa cruz tenerife, canarias, españa
reconquista 559, 8 buenos aires, argentina
ronda cruz roja s/n, 41005, sevilla, andalucia, españa
ronda de toledo 27, 13003, ciudad real, castilla la mancha, españa
rua de espanha, 1 praia, cabo verde
sa rota de n pere cardona s/n, 07840, illes balears, illes balears, españa
serrablo 131, 22609, huesca, aragon, españa
shara al maarad edificio 1 jartun, sudan (el)
sherpur, main street, third lane /right kabul, afganistan
shirpur, kabul, main st., third lane (ri afganistán, afganistan
sin datos sin datos, guinea ecuatorial
sin datos sin datos, marruecos
stremianni per. 31/1 moscu, rusia (la) federacion de
subida san miguel 2 3, 09340, burgos, castilla leon, españa
surra, block 3, st. 14, bldg. 19 p.o.b.: 22207 safat 13083, kuwait
trva gràcia 58, 08008, barcelona, cataluna, españa
trva virgen de la roca 25, 28037, madrid, comunidad madrid, españa
via augusta julia s/n, 11071, cadiz, andalucia, españa
via balsa de las adelfas pinares de rostrogodordo s/n, 52071, melilla, melilla, españa
via iberica 1 15, 50071, zaragoza, aragon, españa
villafranca de los caballeros s/n, 28980, madrid, comunidad madrid, españa
